id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
A23,funfacts,Which sense is the first to develop in a human fetus?,Hearing,Sight,Smell,Touch,D,"Touch is the first sense to develop in a human fetus, with sensitivity beginning around 8 weeks of gestation. The fetus can respond to touch stimuli well before other senses develop."
A24,funfacts,How many official languages does the United Nations have?,4,6,8,10,B,"The United Nations has six official languages: Arabic, Chinese (Mandarin), English, French, Russian, and Spanish."
A25,funfacts,What is the only bird that can fly backward with precision?,Hummingbird,Eagle,Falcon,Crow,A,"The hummingbird is the only bird that can fly backward with precision and control, as well as hover in mid-air, due to its unique wing structure and flight mechanics."
A26,funfacts,How many times can a piece of paper be folded in half (theoretically)?,"7 times","12 times","Unlimited times","42 times",B,"While theoretically unlimited, in practice, a standard piece of paper can only be folded in half about 7-12 times. The world record with specialized paper and techniques is 12 folds, as each fold doubles the thickness exponentially."
A27,funfacts,What percentage of human DNA is identical to that of a banana?,25%,40%,50%,60%,C,"Humans share approximately 50% of their DNA with bananas, highlighting the fundamental genetic similarities between all living organisms on Earth."
A28,funfacts,Which element makes up about 65% of the human body by mass?,Carbon,Hydrogen,Oxygen,Nitrogen,C,"Oxygen makes up approximately 65% of the human body by mass, primarily as a component of water, which constitutes a large percentage of our bodies."
A29,funfacts,How many taste buds does the average human tongue contain?,1,000,5,000,10,000,25,000,C,"The average human tongue contains approximately 10,000 taste buds, each containing receptors that detect the five basic tastes: sweet, salty, sour, bitter, and umami."
A30,funfacts,What percentage of the world's population is left-handed?,Around 1%,Around 5%,Around 10%,Around 30%,C,"Approximately 10% of the world's population is left-handed, a trait that has remained relatively constant throughout human history."
A31,funfacts,How long does it take for light from the Sun to reach Earth?,8 minutes and 20 seconds,12 minutes and 30 seconds,24 minutes and 15 seconds,1 hour and 12 minutes,A,"It takes approximately 8 minutes and 20 seconds for light to travel from the Sun to Earth, covering a distance of about 150 million kilometers (93 million miles)."
A32,funfacts,What is the only U.S. state whose name can be typed on a single row of a standard QWERTY keyboard?,Alaska,Florida,Ohio,Texas,C,"Ohio is the only U.S. state name that can be typed using only keys from the middle row of a standard QWERTY keyboard (A-S-D-F-G-H-J-K-L)."
A33,funfacts,How many times does the average person's heart beat in a lifetime?,About 1 billion times,About 2.5 billion times,About 4 billion times,About 6 billion times,B,"The average human heart beats approximately 2.5 billion times over an 80-year lifespan, pumping about 1 million barrels of blood during that time."
A34,funfacts,What percentage of the world's species remain undiscovered?,About 10%,About 30%,About 50%,About 86%,D,"Scientists estimate that approximately 86% of all species on Earth and 91% of ocean species remain undiscovered and uncatalogued, highlighting how much biodiversity is still unknown to science."
A35,funfacts,Which is the only continent without native reptiles?,Antarctica,Australia,Europe,South America,A,"Antarctica is the only continent without native reptiles, as its extreme cold climate makes it impossible for cold-blooded reptiles to survive there naturally."
A36,funfacts,How many teeth does an adult human typically have?,20,32,36,40,B,"An adult human typically has 32 permanent teeth, including 8 incisors, 4 canines, 8 premolars, and 12 molars (including 4 wisdom teeth)."
A37,funfacts,What percentage of the world's oxygen is produced by phytoplankton in the oceans?,20%,50%,70%,90%,B,"Marine phytoplankton produce approximately 50-80% of the world's oxygen through photosynthesis, making them more significant oxygen producers than all forests combined."
A38,funfacts,Which is the only venomous snake in Britain?,Grass snake,Smooth snake,Adder,Slow worm,C,"The adder (Vipera berus) is the only venomous snake native to Britain. Although venomous, its bite is rarely life-threatening to humans."
A39,funfacts,How many primary colors are there in the RGB color model?,2,3,4,6,B,"There are three primary colors in the RGB (Red, Green, Blue) color model, which is used for digital displays and is an additive color model."
A40,funfacts,What percentage of humans have a third, functioning eyelid?,0%,1%,10%,25%,A,"While some animals (like cats and birds) have a functional third eyelid called the nictitating membrane, humans do not. We have only a vestigial remnant called the plica semilunaris that no longer functions as an eyelid."
A41,funfacts,How many muscles does it take to smile?,5,12,17,43,C,"It takes approximately 17 muscles to smile, while frowning requires 43 muscles, which is the basis for the saying that it takes more effort to frown than to smile."
A42,funfacts,What percentage of the world's population has never made a phone call?,5%,10%,20%,30%,C,"Despite rapid technological advances, approximately 20% of the world's population has never made a phone call, primarily due to lack of infrastructure in remote or underdeveloped regions."
A43,funfacts,Which is the only continent where you can find wild penguins in the Northern Hemisphere?,Africa,Asia,Europe,South America,A,"Africa is the only continent where wild penguins naturally occur in the Northern Hemisphere, specifically the Galapagos penguin which occasionally crosses the equator into the Northern Hemisphere."
A44,funfacts,How many islands does Indonesia consist of?,More than 1,000,More than 5,000,More than 10,000,More than 17,000,D,"Indonesia consists of more than 17,000 islands, making it the world's largest archipelagic state. However, only about 6,000 of these islands are inhabited."
A45,funfacts,What percentage of dust in homes is made up of dead human skin cells?,20%,40%,60%,80%,B,"Approximately 40% of household dust is composed of dead human skin cells. The average person sheds about 30,000 to 40,000 skin cells every minute."
A46,funfacts,Which is the only continent without bees?,Antarctica,Australia,Europe,South America,A,"Antarctica is the only continent without native bees, as its extreme cold climate and lack of flowering plants make it unsuitable for bee habitation."
A47,funfacts,How many digits of Pi (π) have been calculated?,1 million,10 billion,50 trillion,100 trillion,D,"As of 2023, mathematicians have calculated pi to more than 100 trillion digits, though for most practical applications, just a few dozen digits are sufficient."
A48,funfacts,What percentage of the human genome is shared with mice?,40%,65%,85%,95%,C,"Humans share approximately 85% of their genome with mice, which is why mice are often used for biomedical research that can translate to human applications."
A49,funfacts,Which natural element has the highest melting point?,Carbon,Tungsten,Titanium,Rhenium,B,"Tungsten has the highest melting point of any natural element at 3,422°C (6,192°F), making it extremely valuable for applications requiring heat resistance."
A50,funfacts,How long does a diamond take to form naturally in the Earth?,500 years,10,000 years,1 million years,1-3 billion years,D,"Natural diamonds typically form over 1-3 billion years deep within the Earth's mantle under extreme pressure and heat before being brought closer to the surface through volcanic activity."
A51,funfacts,What percentage of the Earth's surface is covered by freshwater lakes and rivers?,Less than 1%,About 3%,About 10%,About 20%,A,"Despite their importance, lakes and rivers cover less than 1% of Earth's surface. Oceans cover about 71%, while the remaining land includes deserts, forests, mountains, and other terrain."
A52,funfacts,Which animal has the longest gestation period?,African elephant,Blue whale,Giraffe,Rhinoceros,A,"The African elephant has the longest gestation period of any land mammal, carrying its young for approximately 22 months (nearly 2 years) before giving birth."
A53,funfacts,How many cells does the average adult human body contain?,1 million,1 billion,30 trillion,100 trillion,C,"The average adult human body contains approximately 30-40 trillion cells, though estimates vary depending on the counting method and cell types included."
A54,funfacts,What percentage of an average human's daily water intake comes from food?,10%,20%,30%,40%,B,"About 20% of our daily water intake comes from food, particularly fruits and vegetables with high water content. The remaining 80% comes from beverages."
A55,funfacts,Which is the only metal that expands when it freezes?,Gallium,Mercury,Iron,Bismuth,A,"Gallium is one of the few substances (along with water) that expands when it freezes rather than contracting, making it useful in certain specialized applications."
A56,funfacts,How many dreams does the average person have in a night?,1-2,3-5,5-6,7-9,B,"The average person has about 3-5 dreams per night, though many are forgotten upon waking. Dreams primarily occur during REM (rapid eye movement) sleep stages."
A57,funfacts,What percentage of the world's plant and animal species live in rainforests?,20%,40%,50%,90%,C,"Despite covering just 6% of Earth's land surface, rainforests are home to approximately 50% of the world's plant and animal species, making them critical biodiversity hotspots."
A58,funfacts,Which is the only bird that can see the color blue?,Eagle,Peacock,Parrot,Penguin,C,"Unlike most birds, parrots can see the color blue due to a special type of cone in their eyes. Most birds cannot perceive blue as a distinct color."
A59,funfacts,How long can a cockroach survive without its head?,1 day,1 week,Several weeks,Several months,C,"A cockroach can survive for several weeks without its head because they breathe through spiracles in their body segments and have an open circulatory system. They eventually die from dehydration, not decapitation."
A60,funfacts,What percentage of the Earth's oxygen comes from marine plants?,20%,50%,70%,90%,B,"Marine plants, primarily phytoplankton, produce approximately 50-80% of Earth's oxygen through photosynthesis, making them crucial for atmospheric oxygen levels."
A61,funfacts,Which planet in our solar system rotates the fastest?,Earth,Jupiter,Venus,Saturn,B,"Jupiter has the fastest rotation of any planet in our solar system, completing a full rotation on its axis in just under 10 hours, despite being the largest planet."
A62,funfacts,How many languages are currently endangered worldwide?,About 500,About 1,000,About 3,000,About 7,000,C,"UNESCO estimates that approximately 3,000 languages (nearly half of all languages) are endangered and at risk of extinction within this century."
A63,funfacts,What percentage of all species that have ever existed on Earth are now extinct?,50%,75%,90%,99.9%,D,"Scientists estimate that about 99.9% of all species that have ever existed on Earth are now extinct, highlighting the dynamic nature of evolution and extinction."
A64,funfacts,Which is the only mammal capable of true flight?,Bat,Flying squirrel,Sugar glider,Colugo,A,"Bats are the only mammals capable of sustained, powered flight. Other mammals like flying squirrels, sugar gliders, and colugos can only glide."
A65,funfacts,How many muscles are in a cat's ear?,4,12,32,44,C,"Cats have 32 muscles in each ear, allowing them to rotate their ears 180 degrees and move each ear independently, which helps them precisely locate the source of sounds."
A66,funfacts,What percentage of the world's population has never seen snow in person?,10%,25%,50%,75%,C,"Approximately 50% of the world's population has never experienced snow firsthand, primarily those living in tropical and equatorial regions."
A67,funfacts,Which insect has the most powerful bite relative to its body weight?,Fire ant,Dung beetle,Leafcutter ant,Bullet ant,C,"The leafcutter ant has the most powerful bite relative to its size, capable of exerting forces up to 1,000 times its body weight to cut through tough plant material."
A68,funfacts,How many heartbeats will the average person have in their lifetime?,1 billion,2.5 billion,3 billion,4 billion,B,"The average human heart beats approximately 2.5 billion times in a typical 70-80 year lifespan, pumping about 1 million barrels of blood during that time."
A69,funfacts,What percentage of people dream exclusively in black and white?,5%,12%,20%,30%,B,"About 12% of people report dreaming exclusively in black and white. Interestingly, this percentage was higher (around 75%) before the widespread adoption of color television."
A70,funfacts,Which element makes up the highest percentage of the Earth's core?,Iron,Nickel,Carbon,Silicon,A,"Iron makes up approximately 85% of the Earth's core, with nickel comprising most of the remainder, along with smaller amounts of other elements."
A71,funfacts,How many chromosomes does a typical human cell contain?,23,42,46,48,C,"A typical human somatic (body) cell contains 46 chromosomes arranged in 23 pairs. Reproductive cells (gametes) contain 23 unpaired chromosomes."
A72,funfacts,What percentage of the ocean floor has been mapped in detail?,5%,20%,35%,80%,B,"Despite covering 71% of the Earth's surface, only about 20% of the ocean floor has been mapped in detail, making it less explored than the surface of Mars."
A73,funfacts,Which animal has the most teeth?,Snail,Shark,Dolphin,Catfish,A,"The common garden snail has the most teeth of any animal, with approximately 14,000 microscopic teeth arranged in rows on its radula (tongue-like organ)."
A74,funfacts,How many calories does the human brain consume daily?,200,500,700,1,300,A,"The human brain consumes approximately 20% of the body's total energy, requiring about 300-400 calories per day, despite making up only 2% of body weight."
A75,funfacts,What percentage of the human population has perfect pitch?,0.01%,1%,5%,10%,A,"Perfect pitch (absolute pitch) is extremely rare, occurring in only about 0.01% of the general population, though it's more common among professional musicians."
A76,funfacts,Which is the only naturally blue food?,Blueberry,Blue potato,Blue cheese,Blue raspberry,A,"Blueberries are one of the few naturally blue foods. Most foods that appear blue (like blue corn or blue potatoes) actually contain purple anthocyanin pigments."
A77,funfacts,How many hairs are on the average human head?,50,000,100,000,150,000,350,000,B,"The average human head has approximately 100,000 hair follicles, though this number varies by hair color: blond-haired people have about 150,000, while redheads have about 90,000."
A78,funfacts,What percentage of people are born with an extra rib?,1%,5%,10%,25%,C,"About 10% of people are born with an extra (thirteenth) rib called a cervical rib, which is considered a normal anatomical variation."
A79,funfacts,Which animal has the highest blood pressure?,Giraffe,Blue whale,Hummingbird,Shrew,A,"Giraffes have extremely high blood pressure (around 280/180 mmHg, nearly twice that of humans) to pump blood up their long necks against gravity to their brains."
A80,funfacts,How many different facial expressions can humans make?,Around 50,Around 500,Around 5,000,Around 10,000,C,"Research suggests humans can make more than 5,000 distinct facial expressions, though we commonly use only a small fraction of these in daily communication."
A81,funfacts,What percentage of humans have wisdom teeth that never emerge?,5%,15%,35%,100%,C,"Approximately 35% of people worldwide never develop wisdom teeth at all, a trend that has increased in recent generations, possibly due to evolutionary changes in jaw size."
A82,funfacts,Which fruit contains the most protein per 100 grams?,Banana,Avocado,Guava,Jackfruit,B,"Avocados contain the most protein among common fruits, with approximately 2-4 grams per 100 grams, making them unusually nutrient-dense for a fruit."
A83,funfacts,How many muscles does it take to frown?,12,23,43,62,C,"It takes approximately 43 muscles to frown, compared to just 17 muscles to smile, which is the basis for the saying that it takes more effort to frown than to smile."
A84,funfacts,What percentage of the Sahara Desert is covered in sand?,10%,20%,30%,80%,B,"Despite popular perception, only about 20% of the Sahara Desert is covered by sand. The rest consists of rocky hamada (stone plateaus), mountains, gravel plains, salt flats, and occasional oases."
A85,funfacts,Which animal has the longest lifespan?,Greenland shark,Giant tortoise,Bowhead whale,Ocean quahog clam,A,"The Greenland shark has the longest known lifespan of any vertebrate, living up to 400-500 years. Some specimens alive today were likely born before the Industrial Revolution."
A86,funfacts,How many bones are in a giraffe's neck?,5,7,12,20,B,"Despite their extremely long necks, giraffes have just 7 neck vertebrae - the same number as humans and most other mammals. The difference is in their size, not their number."
A87,funfacts,What percentage of Americans can't swim?,15%,30%,45%,60%,B,"Approximately 30% of American adults cannot swim the length of a standard pool, highlighting a significant gap in this potentially life-saving skill."
A88,funfacts,Which animal can survive the longest without water?,Kangaroo rat,Camel,Gila monster,African bullfrog,A,"The kangaroo rat can survive its entire life without drinking water, getting all necessary moisture from metabolic water produced by the seeds it eats."
A89,funfacts,How many mountains on Earth are taller than 8,000 meters (26,247 feet)?,7,10,14,21,C,"There are exactly 14 mountains on Earth with elevations exceeding 8,000 meters (26,247 feet), all located in the Himalayan and Karakoram ranges in Asia."
A90,funfacts,What percentage of the human body's cells are actually bacteria?,10%,30%,50%,More than 50%,D,"More than 50% of the cells in the human body are bacteria, primarily in the gut microbiome, though human cells are much larger in size."
A91,funfacts,Which is the only U.S. state that begins with the letter 'P'?,Pennsylvania,Puerto Rico,Philadelphia,Portland,A,"Pennsylvania is the only U.S. state whose name begins with the letter 'P'. Puerto Rico is a U.S. territory, not a state, while Philadelphia and Portland are cities."
A92,funfacts,How many taste receptors does the average human have?,1,000,10,000,100,000,1,000,000,B,"The average human has approximately 10,000 taste receptors, primarily located on the tongue but also found in other areas like the roof of the mouth and throat."
A93,funfacts,What percentage of the world's population has never used the internet?,10%,25%,35%,50%,C,"Despite significant technological advancement, approximately 35% of the world's population has never used the internet, highlighting the digital divide that persists globally."
A94,funfacts,Which animal has the most complex eyes?,Mantis shrimp,Octopus,Dragonfly,Eagle,A,"The mantis shrimp has the most complex eyes in the animal kingdom, with 16 color receptors (compared to humans' 3) and the ability to see polarized light and multiple planes of vision simultaneously."
A95,funfacts,How many facial muscles does a cat have?,12,25,38,47,C,"Cats have 38 facial muscles, allowing them a wide range of expressions. For comparison, dogs have about 100 facial muscles, and humans have 43."
A96,funfacts,What percentage of an average human's DNA is identical to a chimpanzee's?,75%,85%,98.6%,99.9%,C,"Humans and chimpanzees share approximately 98.6% of their DNA, making them our closest living relatives in the animal kingdom."
A97,funfacts,Which bird species can sleep while flying?,Eagle,Albatross,Swift,Pigeon,C,"Common swifts can sleep while flying by shutting down half their brain at a time, a phenomenon called unihemispheric slow-wave sleep. They can stay airborne for up to 10 months without landing."
A98,funfacts,How many times does the average person blink per minute?,5-6 times,12-15 times,20-25 times,30-35 times,B,"The average person blinks approximately 12-15 times per minute, though this rate decreases when concentrating (e.g., reading) and increases when conversing."
A99,funfacts,What percentage of people have an extra bone in their knee called a fabella?,10%,25%,39%,50%,C,"About 39% of people worldwide have a small, extra bone in their knee called a fabella. Interestingly, this percentage has tripled since 1900, possibly due to improved nutrition affecting height and joint loading."
A100,funfacts,Which is the only element named after a person who was alive when the element was discovered?,Curium,Einsteinium,Seaborgium,Mendelevium,C,"Seaborgium (element 106) is named after Glenn Seaborg, who was still alive when it was discovered and named, making it the only element named after a living person at the time of its naming."
B1,psychology,Which psychologist is known for developing the concept of the 'collective unconscious'?,Sigmund Freud,Carl Jung,B.F. Skinner,Abraham Maslow,B,"Carl Jung developed the concept of the collective unconscious, which refers to the part of the unconscious mind shared by all humans, containing archetypes and instinctual patterns that transcend individual experience."
B2,psychology,What is the term for the psychological phenomenon where people tend to remember unfinished tasks better than completed ones?,Zeigarnik effect,Hawthorne effect,Dunning-Kruger effect,Barnum effect,A,"The Zeigarnik effect describes the tendency to remember uncompleted tasks better than completed ones, named after psychologist Bluma Zeigarnik who first studied this phenomenon in the 1920s."
B3,psychology,Which part of the brain is primarily responsible for decision-making and executive functions?,Cerebellum,Amygdala,Prefrontal cortex,Hippocampus,C,"The prefrontal cortex is primarily responsible for decision-making, planning, impulse control, and other executive functions. It's located in the front part of the frontal lobe and is one of the last brain regions to fully develop in humans."
B4,psychology,What term describes the study of body language and non-verbal communication?,Proxemics,Chronemics,Kinesics,Paralinguistics,C,"Kinesics is the study and interpretation of body language, gestures, facial expressions, and other forms of non-verbal communication. It was first developed as a field of study by anthropologist Ray Birdwhistell in the 1950s."
B5,psychology,Which psychologist is known for developing the hierarchy of needs theory?,Carl Rogers,B.F. Skinner,Jean Piaget,Abraham Maslow,D,"Abraham Maslow developed the hierarchy of needs theory, which proposes that human motivations move through different levels, from basic physiological needs to safety, love/belonging, esteem, and finally self-actualization at the top of the pyramid."
B6,psychology,What defense mechanism involves attributing one's own unacceptable thoughts or feelings to others?,Projection,Rationalization,Displacement,Sublimation,A,"Projection is a defense mechanism where individuals attribute their own unacceptable thoughts, feelings, or impulses to someone else. This allows them to avoid acknowledging these aspects of themselves while still expressing the associated emotions."
B7,psychology,Which psychological perspective emphasizes the role of unconscious processes and childhood experiences in shaping behavior?,Behavioral perspective,Cognitive perspective,Psychodynamic perspective,Humanistic perspective,C,"The psychodynamic perspective, originally developed by Sigmund Freud, emphasizes the role of unconscious processes, childhood experiences, and internal conflicts in shaping behavior and personality development."
B8,psychology,What is the term for the tendency to seek out information that confirms existing beliefs while ignoring contradictory evidence?,Hindsight bias,Framing effect,Confirmation bias,Availability heuristic,C,"Confirmation bias is the tendency to search for, interpret, favor, and recall information in a way that confirms one's preexisting beliefs while giving disproportionately less consideration to alternative possibilities or contradictory evidence."
B9,psychology,Which area of psychology focuses on diagnosing and treating mental disorders?,Social psychology,Developmental psychology,Clinical psychology,Cognitive psychology,C,"Clinical psychology focuses on the assessment, diagnosis, treatment, and prevention of mental disorders. Clinical psychologists work with individuals across the lifespan dealing with various psychological difficulties and mental health conditions."
B10,psychology,What is the term for the inability to recognize familiar faces?,Aphasia,Prosopagnosia,Agnosia,Amnesia,B,"Prosopagnosia, also known as face blindness, is the inability to recognize familiar faces, including one's own face in some cases. It can be caused by brain injury or may be developmental in nature."
B11,psychology,Which theory suggests that our emotional responses follow our physical reactions?,James-Lange theory,Cannon-Bard theory,Schachter-Singer theory,Cognitive dissonance theory,A,"The James-Lange theory, proposed by William James and Carl Lange, suggests that emotions arise as a result of physiological responses to events. According to this theory, we feel sad because we cry, angry because we strike, afraid because we tremble."
B12,psychology,What term describes the improved performance on simple tasks when others are present?,Social loafing,Deindividuation,Social facilitation,Groupthink,C,"Social facilitation refers to the tendency for people to perform better on simple or well-learned tasks when in the presence of others. This phenomenon was first noted by Norman Triplett in 1898, making it one of the earliest documented findings in social psychology."
B13,psychology,Which psychologist is associated with classical conditioning?,Ivan Pavlov,B.F. Skinner,Edward Thorndike,John Watson,A,"Ivan Pavlov, a Russian physiologist, is most associated with classical conditioning. His famous experiments with dogs demonstrated how neutral stimuli could become associated with reflexive responses through repeated pairing with unconditioned stimuli."
B14,psychology,What is the term for a mental shortcut that helps make decisions quickly but may lead to errors in judgment?,Algorithm,Syllogism,Heuristic,Cognition,C,"A heuristic is a mental shortcut that allows people to solve problems and make judgments quickly and efficiently. While heuristics can be helpful in many situations, they can also lead to cognitive biases and systematic errors in judgment."
B15,psychology,Which memory system holds information for very brief periods of time (seconds)?,Long-term memory,Sensory memory,Working memory,Procedural memory,B,"Sensory memory holds incoming sensory information for very brief periods—typically just a few milliseconds to seconds—before it is either processed further into short-term/working memory or forgotten. It has different registers for different sensory modalities."
B16,psychology,What psychological effect describes the tendency for people to follow others' actions in uncertain situations?,Conformity,Compliance,Social facilitation,Social referencing,A,"Conformity refers to the act of matching one's attitudes, beliefs, and behaviors to group norms or the expectations of others. In ambiguous situations, people often look to others for cues about appropriate behavior, which can lead to conformity."
B17,psychology,Which psychological approach focuses on how thoughts and perceptions influence behavior?,Psychodynamic,Behavioral,Cognitive,Humanistic,C,"The cognitive approach in psychology focuses on internal mental processes such as attention, memory, perception, problem-solving, and how thoughts and perceptions influence behavior and emotions. It emerged as a response to behaviorism in the mid-20th century."
B18,psychology,What is the phenomenon where people attribute others' behavior to their personality (internal factors) rather than situational (external) factors?,Self-serving bias,Fundamental attribution error,Actor-observer bias,Just-world hypothesis,B,"The fundamental attribution error (or correspondence bias) is the tendency to overestimate the influence of personality traits and underestimate the influence of situational factors when explaining others' behaviors. This error often occurs due to limited perspective-taking abilities."
B19,psychology,Which part of the brain is primarily responsible for regulating emotional responses?,Cerebellum,Medulla oblongata,Amygdala,Occipital lobe,C,"The amygdala is a small, almond-shaped structure in the limbic system that plays a key role in processing emotions, particularly fear responses, emotional memories, and decision-making. Damage to the amygdala can impair emotional recognition and regulation."
B20,psychology,What is the theory that proposes intelligence consists of three components: analytical, creative, and practical?,Multiple intelligences theory,Triarchic theory of intelligence,Two-factor theory of intelligence,General intelligence theory,B,"The triarchic theory of intelligence was proposed by psychologist Robert Sternberg. It suggests that intelligence comprises three aspects: analytical intelligence (problem-solving), creative intelligence (dealing with novelty), and practical intelligence (adapting to environments)."
B21,psychology,Which psychologist is known for the theory of operant conditioning?,Ivan Pavlov,John Watson,B.F. Skinner,Albert Bandura,C,"B.F. Skinner developed the theory of operant conditioning, which focuses on how behaviors are influenced by their consequences. He emphasized the role of reinforcement and punishment in shaping behavior, rather than internal mental states."
B22,psychology,What is the term for the social psychological phenomenon where people exert less effort when working collectively than individually?,Social facilitation,Social inhibition,Social loafing,Social cohesion,C,"Social loafing refers to the tendency for individuals to exert less effort when working as part of a group compared to when working individually. This phenomenon occurs due to diffusion of responsibility and decreased identifiability of individual contributions."
B23,psychology,Which psychological perspective emphasizes personal freedom, choice, and self-fulfillment?,Psychodynamic,Behavioral,Cognitive,Humanistic,D,"The humanistic perspective emphasizes personal freedom, choice, self-fulfillment, and growth potential. Developed by psychologists like Carl Rogers and Abraham Maslow, it views humans as inherently good and capable of making choices toward self-actualization."
B24,psychology,What is the term for an exaggerated first impression that influences how we interpret later information about a person?,Primacy effect,Halo effect,Recency effect,Priming effect,B,"The halo effect refers to the tendency to let one positive trait or impression influence overall evaluation of a person. This cognitive bias leads us to assume that because someone is good in one area, they must be good in others as well."
B25,psychology,Which region of the brain is primarily responsible for memory formation?,Cerebellum,Hippocampus,Amygdala,Thalamus,B,"The hippocampus, located in the medial temporal lobe, plays a crucial role in the formation of new memories, particularly declarative memories (facts and events). Damage to the hippocampus can result in anterograde amnesia—the inability to form new memories."
B26,psychology,What is the term for behaviors that improve the welfare of others without obvious benefits to oneself?,Prosocial behavior,Altruism,Social facilitation,Empathy,B,"Altruism refers to behaviors that benefit others without obvious rewards for the actor and may even involve personal costs or risks. While pure altruism is debated, acts like anonymous donation or risking one's life to save others are considered altruistic."
